Attracts,Bloom Description,Bloom Time,Common Name,Culture,Family,Flower,Formal Name,Fruit,Garden Uses,Height,Invasive,Leaf,Maintenance,Native Range,Noteworthy Characteristics,Other,Problems,Spread,Suggested Use,Sun,Tolerate,Type,Water,Zone
 Birds, Yellowgreen, April to May, sweet gum,NA, Altingiaceae, Insignificant,Liquidambar styraciflua, Showy,NA, 6000 to 8000 feet, , Fragrant Good Fall, Low, Eastern United States Mexico,NA, Winter Interest,NA, 4000 to 6000 feet, Shade Tree, Full sun, Rabbit Deer Clay Soil Black Walnut, Tree, Medium, 5 to 9
 Birds, Pale lavendar blue, June to July, milky bellflower,NA, Campanulaceae, Showy Good Cut,Campanula lactiflora Pouffe, Showy,NA, 100 to 150 feet, , Fragrant Good Fall, Low, Eastern United States Mexico,NA, Winter Interest,NA, 075 to 100 feet, Naturalize, Full sun to part shade, Deer, Herbaceous perennial, Medium, 5 to 7
 Birds Hummingbirds Butterflies, White, May, dwarf apple,NA, Rosaceae, Showy Fragrant,Malus Redfree, Showy Edible,NA, 1200 to 1500 feet, , Fragrant Good Fall, High, Eastern United States Mexico,NA, Winter Interest,NA, 1200 to 1500 feet, Flowering Tree, Full sun, Air Pollution, Fruit, Medium, 5 to 8
 Butterflies, White, May, peony,NA, Paeoniaceae, Showy Fragrant,Paeonia lactiflora Marshmallow Button, Showy Edible,NA, 150 to 200 feet, , Fragrant Good Fall, Medium, Eastern United States Mexico,NA, Winter Interest,NA, 150 to 200 feet, Flowering Tree, Full sun to part shade, Rabbit Deer, Herbaceous perennial, Medium, 3 to 8
 Butterflies, Golden yellow, July to February, switch grass,NA, Poaceae, Showy,Panicum virgatum Cloud Nine, Showy Edible,NA, 500 to 700 feet, , Colorful, Low, Eastern United States Mexico,NA, Winter Interest,NA, 200 to 300 feet, Rain Garden, Full sun to part shade, Drought Erosion Dry Soil Wet Soil Black Walnut Air Pollution, Ornamental grass, Medium to wet, 5 to 9
 Butterflies, White with showy yellow stamens, May to June, Japanese snowbell,NA, Styracaceae, Showy Fragrant,Styrax japonicus Carillon, Showy Edible,NA, 800 to 1200 feet, , Colorful, Medium, Eastern United States Mexico,NA, Winter Interest,NA, 800 to 1200 feet, Rain Garden, Full sun to part shade, Drought Erosion Dry Soil Wet Soil Black Walnut Air Pollution, Deciduous shrub, Medium, 5 to 9
 Hummingbirds, Red with yellow throat, April to June, weigela,NA, Caprifoliaceae, Showy,Weigela florida Tango, Showy Edible,NA, 200 to 250 feet, , Colorful, Low, Eastern United States Mexico,NA, Winter Interest,NA, 250 to 300 feet, Hedge, Full sun, Clay Soil, Deciduous shrub, Medium, 4 to 8
 Butterflies, White, May to June, White wand beardtongue,NA, Plantaginaceae, Showy,Penstemon tubaeflorus, Showy Edible,NA, 100 to 300 feet, , Colorful, Low, Eastern and central United States,NA, Winter Interest,NA, 100 to 150 feet, Hedge, Full sun, Deer, Herbaceous perennial, Dry to medium, 4 to 8
 Butterflies, Deep pink, May to June, cranesbill,NA, Geraniaceae, Showy,Geranium Bertie Crg, Showy Edible,NA, 025 to 050 feet, , Colorful, Low, Eastern and central United States,NA, Winter Interest,NA, 050 to 100 feet, Hedge, Full sun to part shade, Rabbit Deer Drought, Herbaceous perennial, Dry to medium, 5 to 8
 Butterflies, Red, April, camellia,NA, Theaceae, Showy,Camellia japonica Korean Fire, Showy Edible,NA, 1000 to 1500 feet, , Evergreen, Medium, Eastern and central United States,NA, Winter Interest,NA, 500 to 800 feet, Hedge, Part shade, Heavy Shade, Broadleaf evergreen, Medium, 6 to 9
 Butterflies, Yellow, Flowers freely, yellow bells,NA, Bignoniaceae, Showy Fragrant,Tecoma stans, Showy Edible,NA, 200 to 600 feet, , Evergreen, Medium, Southern United States Central and South America,NA, Winter Interest,NA, 200 to 400 feet, Hedge, Full sun, Heavy Shade, Broadleaf evergreen, Medium, 10 to 11
 Butterflies, Pale yellow to white, Seasonal bloomer, fernleaf aralia,NA, Araliaceae, Showy,Polyscias filicifolia, Showy Edible,NA, 600 to 800 feet, , Evergreen, Low, New Caledonia New Guinea,NA, Winter Interest,NA, 200 to 300 feet, Hedge, Full sun to part shade, Heavy Shade, Broadleaf evergreen, Medium, 11 to 12
 Butterflies, White, August to September, hairy alum root,NA, Saxifragaceae, Showy,Heuchera villosa Autumn Bride, Showy Edible,NA, 150 to 300 feet, , Evergreen, Low, New Caledonia New Guinea,NA, Winter Interest,NA, 150 to 200 feet, Hedge, Full sun to part shade, Heavy Shade, Herbaceous perennial, Medium, 3 to 8
 Hummingbirds, Pinkred, April to June, weigela,NA, Caprifoliaceae, Showy,Weigela Courtamon FELINE, Showy Edible,NA, 400 to 500 feet, , Evergreen, Low, New Caledonia New Guinea,NA, Winter Interest,NA, 500 to 700 feet, Hedge, Full sun, Clay Soil, Deciduous shrub, Medium, 5 to 8
 Hummingbirds, Nonflowering, Nonflowering, Chinese juniper,NA, Cupressaceae, Showy,Juniperus chinensis Spartan, Showy Edible,NA, 1500 to 2000 feet, , Evergreen, Low, New Caledonia New Guinea,NA, Winter Interest,NA, 400 to 500 feet, Hedge, Full sun, Deer Drought Erosion Dry Soil ShallowRocky Soil Air Pollution, Needled evergreen, Medium, 4 to 9
 Butterflies, Clear white with no eye, July to September, hardy hibiscus,NA, Malvaceae, Showy,Hibiscus Blue River II, Showy Edible,NA, 400 to 500 feet, , Evergreen, Low, New Caledonia New Guinea,NA, Winter Interest,NA, 250 to 300 feet, Annual Rain Garden, Full sun, Deer Wet Soil, Herbaceous perennial, Medium to wet, 5 to 9
 Birds Butterflies, White, May, nannyberry viburnum,NA, Adoxaceae, Showy,Viburnum lentago, Showy Edible,NA, 1400 to 1600 feet, , Evergreen, Low, Eastern North America,NA, Winter Interest,NA, 600 to 1200 feet, Hedge, Full sun to part shade, Air Pollution, Deciduous shrub, Medium, 2 to 8
 Butterflies, Pink with a green throat, July to August, daylily,NA, Asphodelaceae, Showy,Hemerocallis Wayside Green Imp, Showy Edible,NA, 150 to 200 feet, , Evergreen, Low, Eastern North America,NA, Winter Interest,NA, 100 to 150 feet, Hedge, Full sun to part shade, Rabbit Erosion Air Pollution, Herbaceous perennial, Medium, 3 to 9
 Butterflies, White, May to June, largeflowered magnolia,NA, Magnoliaceae, Showy Fragrant,Magnolia grandiflora Edith Bogue, Showy,NA, 4000 to 6000 feet, , Evergreen, Low, Eastern North America,NA, Winter Interest,NA, 2000 to 3000 feet, Flowering Tree, Full sun to part shade, Air Pollution, Broadleaf evergreen, Medium, 6 to 9
 Birds, Nonflowering, Nonflowering, eastern white pine,NA, Pinaceae, Showy Fragrant,Pinus strobus, Showy,NA, 5000 to 8000 feet, , Evergreen, Low, Southeastern Canada eastern United States,NA, Winter Interest,NA, 2000 to 4000 feet, Flowering Tree, Full sun to part shade, Rabbit Deer, Needled evergreen, Medium, 3 to 8
 Birds, Creamy white with pink fringe and dark pink eye, May to September, Chinese hibiscus,NA, Malvaceae, Showy,Hibiscus rosasinensis Persimmon, Showy,NA, 600 to 1000 feet, , Evergreen, Medium, Southeastern Canada eastern United States,NA, Winter Interest,NA, 400 to 800 feet, Annual, Full sun to part shade, Deer, Broadleaf evergreen, Medium, 10 to 11
 Birds, Yellowbrown, June to July, needle palm,NA, Arecaceae, Insignificant,Rhapidophyllum hystrix, Showy,NA, 300 to 600 feet, , Evergreen, High, Southeastern United States,NA, Winter Interest,NA, 400 to 800 feet, Annual, Full sun to part shade, Deer, Palm or Cycad, Medium, 6 to 10
 Butterflies, Yellow, May to frost, largeflowered climbing rose,NA, Rosaceae, Showy Fragrant,Rosa GOLDEN SHOWERS, Showy,NA, 800 to 1000 feet, , Evergreen, Medium, Southeastern United States,NA, Thorns,NA, 300 to 600 feet, Annual, Full sun, Deer, Deciduous shrub, Medium, 5 to 9
 Hummingbirds, Pale purple to white, June to July, hosta,NA, Asparagaceae, Showy,Hosta elata, Showy,NA, 200 to 500 feet, , Evergreen, Low, Japan,NA, Thorns,NA, 200 to 250 feet, Annual, Part shade to full shade, Heavy Shade Dry Soil Black Walnut, Herbaceous perennial, Medium, 3 to 8
 Hummingbirds, Violet purple, May, black locust,NA, Fabaceae, Showy Fragrant,Robinia Purple Robe, Showy,NA, 3000 to 4000 feet, , Evergreen, Medium, Japan,NA, Thorns,NA, 2000 to 3000 feet, Street Tree Flowering Tree Naturalize, Full sun, Deer Drought Clay Soil, Tree, Dry to medium, 4 to 8
 Hummingbirds, Violet blue, May to July, nepeta,NA, Lamiaceae, Showy,Nepeta sibirica Souvenir dAndr Chaudron, Showy,NA, 100 to 150 feet, , Fragrant, Low, Japan,NA, Thorns,NA, 100 to 150 feet, Naturalize, Full sun to part shade, Deer Drought Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry to medium, 3 to 8
 Hummingbirds Butterflies, White, May to July, New Jersey tea,NA, Rhamnaceae, Showy Fragrant Good Cut,Ceanothus americanus, Showy,NA, 300 to 400 feet, , Fragrant, Low, Eastern and central North America,NA, Thorns,NA, 300 to 500 feet, Naturalize, Full sun to part shade, Drought Dry Soil ShallowRocky Soil Black Walnut, Deciduous shrub, Dry to medium, 4 to 8
 Hummingbirds Butterflies, Pink to white to lavender, September to October, autumn crocus,NA, Colchicaceae, Showy,Colchicum group, Showy,NA, 050 to 075 feet, , Fragrant, Low, Eastern and central North America,NA, Thorns,NA, 050 to 075 feet, Naturalize, Full sun to part shade, Deer, Bulb, Medium, 4 to 7
 Hummingbirds Butterflies, White to pink, May to June, American cranberry,NA, Ericaceae, Showy,Vaccinium macrocarpon, Showy Edible,NA, 025 to 050 feet, , Evergreen, Medium, Eastern North America northern Asia,NA, Thorns,NA, 100 to 600 feet, Ground Cover Water Plant, Full sun, Wet Soil, Broadleaf evergreen, Ground Cover Water Plant, 3 to 7
 Hummingbirds Butterflies, Lavender to pink to white, May to August, lemon mint,NA, Lamiaceae, Showy Fragrant,Monarda citriodora, Showy Edible,NA, 100 to 250 feet, , Fragrant, Low, Central and southern United States and northern Mexico,NA, Thorns,NA, 075 to 100 feet, Annual Naturalize, Full sun to part shade, Deer Drought, Annual, Dry to medium, 2 to 11
 Hummingbirds Butterflies, Green to white, April to May, boxwood,NA, Buxaceae, Insignificant,Buxus sempervirens Appalachian Pyramid, Showy Edible,NA, 200 to 300 feet, , Evergreen, Medium, Central and southern United States and northern Mexico,NA, Winter Interest,NA, 200 to 300 feet, Hedge, Full sun to part shade, Rabbit Deer, Broadleaf evergreen, Medium, 5 to 8
 Hummingbirds Butterflies, Yellowishbrown male Purple female, March, alder,NA, Betulaceae, Insignificant,Alnus  mayrii, Showy Edible,NA, 3000 to 5000 feet, , Evergreen, Low, Korea China,NA, Winter Interest,NA, 2000 to 4000 feet, Shade Tree Rain Garden, Full sun to part shade, Erosion Wet Soil, Tree, Medium to wet, 4 to 7
 Hummingbirds Butterflies, Yellowishbrown male and green female, March to April, Japanese white birch,NA, Betulaceae, Showy,Betula platyphylla, Showy Edible,NA, 3000 to 4000 feet, , Evergreen, High, Manchuria Korea Japan,NA, Winter Interest,NA, 1500 to 2500 feet, Shade Tree Rain Garden, Full sun to part shade, Deer, Tree, Medium to wet, 4 to 7
 Hummingbirds Butterflies, Blue, May, Siberian iris,NA, Iridaceae, Showy Good Cut,Iris Dance Ballerina Dance, Showy Edible,NA, 200 to 250 feet, , Evergreen, Low, Manchuria Korea Japan,NA, Winter Interest,NA, 200 to 250 feet, Rain Garden, Full sun to part shade, Rabbit Deer Drought Erosion Clay Soil Wet Soil, Herbaceous perennial, Medium to wet, 3 to 8
 Birds Butterflies, Creamy yellow with an orange cone, June to August, coneflower,NA, Asteraceae, Showy Fragrant Good Cut Good Dried,Echinacea Aloha, Showy Edible,NA, 150 to 250 feet, , Evergreen, Low, Manchuria Korea Japan,NA, Winter Interest,NA, 200 to 250 feet, Rain Garden, Full sun to part shade, Deer Drought Clay Soil Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry to medium, 3 to 8
 Birds Butterflies, Pale pink with yellow throat, June to July, daylily,NA, Asphodelaceae, Showy,Hemerocallis Concorde Nelson, Showy Edible,NA, 150 to 200 feet, , Evergreen, Low, Manchuria Korea Japan,NA, Winter Interest,NA, 150 to 200 feet, Rain Garden, Full sun to part shade, Rabbit, Herbaceous perennial, Medium, 3 to 9
 Birds Butterflies, Magenta, May to September, purple loosestrife,NA, Lythraceae, Showy,Lythrum salicaria, Showy Edible,NA, 200 to 400 feet, , Evergreen, Medium, Europe temperate Asia,NA, Winter Interest,NA, 200 to 400 feet, Water Plant Naturalize, Full sun, Rabbit, Herbaceous perennial, Water Plant Naturalize, 4 to 9
 Butterflies, Bubblegum pink, September to October, stonecrop,NA, Crassulaceae, Showy Good Dried,Hylotelephium Pure Joy, Showy Edible,NA, 075 to 100 feet, , Evergreen, Low, Europe temperate Asia,NA, Winter Interest,NA, 125 to 175 feet, Water Plant Naturalize, Full sun, Drought Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry to medium, 3 to 9
 Butterflies, Yellowgreen, May to June, stonecrop,NA, Crassulaceae, Showy,Phedimus ellacombianus, Showy Edible,NA, 025 to 050 feet, , Evergreen, Low, China Japan Siberia,NA, Winter Interest,NA, 050 to 150 feet, Ground Cover Naturalize, Full sun to part shade, Rabbit Deer Drought Erosion Dry Soil ShallowRocky Soil Air Pollution, Herbaceous perennial, Dry to medium, 3 to 8
 Butterflies, Greenish, April, sugar maple,NA, Sapindaceae, Insignificant,Acer saccharum Bailsta FALL FIESTA, Showy Edible,NA, 6000 to 7500 feet, , Good Fall, Medium, China Japan Siberia,NA, Winter Interest,NA, 3000 to 4500 feet, Shade Tree Street Tree, Full sun to part shade, Rabbit Deer Drought Erosion Dry Soil ShallowRocky Soil Air Pollution, Tree, Medium, 3 to 8
 Butterflies, Yellow, April to May, barrenwort,NA, Berberidaceae, Showy,Epimedium  perralchicum Frohnleiten, Showy Edible,NA, 050 to 100 feet, , Colorful, Low, China Japan Siberia,NA, Winter Interest,NA, 100 to 150 feet, Ground Cover Naturalize, Part shade to full shade, Rabbit Deer Drought Heavy Shade Erosion Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry to medium, 5 to 9
 Butterflies, Rose red, April, camellia,NA, Theaceae, Showy Fragrant,Camellia japonica April Rose, Showy Edible,NA, 500 to 800 feet, , Evergreen, Medium, China Japan Siberia,NA, Winter Interest,NA, 300 to 500 feet, Ground Cover Naturalize, Part shade, Rabbit Deer Drought Heavy Shade Erosion Dry Soil ShallowRocky Soil, Broadleaf evergreen, Medium, 6 to 9
 Butterflies, Greenish, Flowers not showy, quinoa,NA, Amaranthaceae, Flowers not showy,Chenopodium quinoa, Showy Edible,NA, 200 to 250 feet, , Evergreen, Low, South America,NA, Winter Interest,NA, 100 to 150 feet, Annual Vegetable, Full sun, Rabbit Deer Drought Heavy Shade Erosion Dry Soil ShallowRocky Soil, Annual, Medium, 2 to 11
 Butterflies, Carmine, August to October, hylotelephium,NA, Crassulaceae, Showy Good Cut Good Dried,Hylotelephium spectabile Brilliant, Showy Edible,NA, 100 to 150 feet, , Evergreen, Medium, South America,NA, Winter Interest,NA, 100 to 150 feet, Annual Vegetable, Full sun, Drought Clay Soil Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry to medium, 3 to 9
 Birds Butterflies, White, May, doublefile viburnum,NA, Adoxaceae, Showy,Viburnum plicatum f tomentosum Shoshoni, Showy,NA, 400 to 500 feet, , Good Fall, Low, South America,NA, Winter Interest,NA, 600 to 800 feet, Hedge, Full sun to part shade, Drought, Deciduous shrub, Medium, 5 to 8
 Hummingbirds, Orangered, July to September, hummingbirds trumpet,NA, Onagraceae, Showy,Zauschneria Orange Carpet, Showy,NA, 033 to 050 feet, , Good Fall, Low, South America,NA, Winter Interest,NA, 100 to 175 feet, Ground Cover, Full sun, Deer Drought Erosion Dry Soil ShallowRocky Soil, Herbaceous perennial, Dry, 5 to 9
 Birds, Pale yellow, April to May, Japanese barberry,NA, Berberidaceae, Insignificant,Berberis thunbergii Aurea, Showy,NA, 300 to 400 feet, , Colorful Good Fall, Low, South America,NA, Thorns,NA, 300 to 500 feet, Hedge, Full sun, Deer Drought Erosion Clay Soil Dry Soil, Deciduous shrub, Dry to medium, 4 to 7
 Birds, White maturing to green, July to September, panicle hydrangea,NA, Hydrangeaceae, Showy Good Cut Good Dried,Hydrangea paniculata Piihp1 BABY LACE, Showy,NA, 300 to 400 feet, , Colorful Good Fall, Medium, South America,NA, Thorns,NA, 300 to 400 feet, Hedge, Full sun to part shade, Deer Drought Erosion Clay Soil Dry Soil, Deciduous shrub, Medium, 3 to 8
 Birds, Yellow inside and redpurple outside, June to September, clematis,NA, Ranunculaceae, Showy,Clematis My Angel, Showy,NA, 600 to 900 feet, , Colorful Good Fall, Medium, South America,NA, Thorns,NA, 200 to 400 feet, Hedge, Full sun to part shade, Deer Black Walnut, Vine, Medium, 4 to 8
 Butterflies, Deep purplish pink, April to May, evergreen azalea,NA, Ericaceae, Showy,Rhododendron Fedora, Showy,NA, 400 to 1000 feet, , Evergreen, Medium, South America,NA, Winter Interest,NA, 500 to 1000 feet, Hedge, Part shade, Rabbit, Broadleaf evergreen, Medium, 6 to 9
 Butterflies, Deep purplish pink, April to May, maple,NA, Sapindaceae, Insignificant,Acer pentaphyllum, Showy,NA, 2000 to 3000 feet, , Good Fall, Low, China,NA, Winter Interest,NA, 1600 to 2500 feet, Hedge, Full sun to part shade, Rabbit, Tree, Medium, 7 to 9
 Butterflies, White, April, eastern redbud,NA, Fabaceae, Showy,Cercis canadensis f alba, Showy,NA, 2000 to 3000 feet, , Good Fall, Low, North America,NA, Winter Interest,NA, 2500 to 3500 feet, Street Tree Flowering Tree Naturalize, Full sun to part shade, Deer Clay Soil Black Walnut, Tree, Medium, 4 to 9
 Butterflies, Nonflowering, Nonflowering, luiang spruce,NA, Pinaceae, Insignificant,Picea likiangensis, Showy,NA, 6000 to 9000 feet, , Good Fall, Low, Southwest China Bhutan,NA, Winter Interest,NA, 2500 to 4000 feet, Shade Tree, Full sun to part shade, Deer, Needled evergreen, Medium, 4 to 7
 Birds, Purplishred, September to February, big blue stem,NA, Poaceae, Insignificant Good Dried,Andropogon gerardii Blackhawks, Showy,NA, 400 to 500 feet, , Colorful Good Fall, Low, Southwest China Bhutan,NA, Winter Interest,NA, 100 to 200 feet, Naturalize, Full sun, Deer Drought Erosion Dry Soil Black Walnut Air Pollution, Ornamental grass, Dry to medium, 3 to 9
 Birds, Pastel pink, April to May, magnolia,NA, Magnoliaceae, Showy Fragrant,Magnolia Daybreak, Showy,NA, 2000 to 2500 feet, , Colorful Good Fall, Low, Southwest China Bhutan,NA, Winter Interest,NA, 600 to 1200 feet, Flowering Tree, Full sun to part shade, Deer Drought Erosion Dry Soil Black Walnut Air Pollution, Tree, Medium, 5 to 8
 Birds, Yellow to orange to nearly red, Seasonal bloomer, Natal lily ,NA, Amaryllidaceae, Showy,Clivia miniata, Showy,NA, 150 to 200 feet, , Evergreen, Low, South Africa Swaziland,NA, Winter Interest,NA, 200 to 300 feet, Flowering Tree, Part shade, Deer Drought Erosion Dry Soil Black Walnut Air Pollution, Herbaceous perennial, Medium, 9 to 11
 Birds, White, April, apple serviceberry,NA, Rosaceae, Showy,Amelanchier  grandiflora Autumn Brilliance, Showy Edible,NA, 1500 to 2500 feet, , Good Fall, Low, South Africa Swaziland,NA, Winter Interest,NA, 1500 to 2500 feet, Flowering Tree, Full sun to part shade, Deer Drought Erosion Dry Soil Black Walnut Air Pollution, Tree, Medium, 4 to 9
 Birds, Blue, May to August, lithodora,NA, Boraginaceae, Showy,Lithodora diffusa, Showy Edible,NA, 050 to 100 feet, , Good Fall, Medium, Northwestern France to southwestern Europe,NA, Winter Interest,NA, 200 to 2500 feet, Ground Cover Naturalize, Full sun to part shade, Deer Drought Erosion Dry Soil Black Walnut Air Pollution, Herbaceous perennial, Medium, 6 to 8
 Birds, White  rarely flowers, Rarely flowers, common duckweed,NA, Araceae, Insignificant,Lemna minor, Showy Edible,NA, 025 to 025 feet, , Good Fall, Medium, Cosmopolitan,NA, Winter Interest,NA, 100 to 300 feet, Annual Water Plant Naturalize Rain Garden, Full sun to part shade, Deer Drought Erosion Dry Soil Black Walnut Air Pollution, Herbaceous perennial, Annual Water Plant Naturalize Rain Garden, 4 to 10
 Birds, Pink purple lavander red, Seasonal bloomer, regal geranium,NA, Geraniaceae, Showy,Pelargonium  domesticum, Showy Edible,NA, 100 to 300 feet, , Evergreen, Low, Garden origin,NA, Winter Interest,NA, 100 to 200 feet, Annual, Full sun to part shade, Drought, Herbaceous perennial, Medium, 10 to 11
 Birds, Greenish with purpletinged styles, July, burnet,NA, Rosaceae, Showy,Sanguisorba minor, Showy Edible,NA, 075 to 200 feet, , Fragrant, Low, Northern Africa western Asia Europe,NA, Winter Interest,NA, 100 to 200 feet, Annual Herb Naturalize, Full sun, Deer, Herbaceous perennial, Medium, 4 to 8
 Birds, Nonflowering, Nonflowering, American arborvitae,NA, Cupressaceae, Showy,Thuja occidentalis Tiny Tim, Showy Edible,NA, 050 to 100 feet, , Evergreen, Low, Northern Africa western Asia Europe,NA, Winter Interest,NA, 100 to 150 feet, Annual Herb Naturalize, Full sun to part shade, Clay Soil Black Walnut Air Pollution, Needled evergreen, Medium, 2 to 7
 Birds, Pink, Seasonal bloomer, begonia,NA, Begoniaceae, Showy,Begonia Lime Royale, Showy Edible,NA, 050 to 100 feet, , Colorful, Medium, Northern Africa western Asia Europe,NA, Winter Interest,NA, 100 to 150 feet, Annual Herb Naturalize, Part shade to full shade, Clay Soil Black Walnut Air Pollution, Herbaceous perennial, Medium, 10 to 11
 Birds Butterflies, Creamy white bracts, April to May, Chinese dogwood,NA, Cornaceae, Showy,Cornus kousa var chinensis Milky Way, Showy Edible,NA, 1500 to 2000 feet, , Good Fall, Low, Northern Africa western Asia Europe,NA, Winter Interest,NA, 1500 to 2000 feet, Flowering Tree, Full sun to part shade, Deer, Tree, Medium, 4 to 8
 Butterflies, Red, May, rhododendron,NA, Ericaceae, Showy,Rhododendron Henrys Red, Showy Edible,NA, 300 to 500 feet, , Evergreen, Medium, Northern Africa western Asia Europe,NA, Winter Interest,NA, 400 to 700 feet, Hedge, Part shade, Rabbit, Broadleaf evergreen, Medium, 4 to 8
 Butterflies, Yellowishgreen, June to July, rupturewort,NA, Caryophyllaceae, Showy,Herniaria hirsuta, Showy Edible,NA, 000 to 025 feet, , Evergreen, Low, Pakistan,NA, Winter Interest,NA, 025 to 075 feet, Annual Ground Cover Naturalize, Full sun, Rabbit, Annual, Medium, 2 to 9
 Birds Butterflies, White, April to June, beardtongue,NA, Plantaginaceae, Showy Good Cut,Penstemon digitalis, Showy Edible,NA, 300 to 500 feet, , Evergreen, Medium, Eastern and southeastern United States,NA, Winter Interest,NA, 150 to 200 feet, Naturalize Rain Garden, Full sun, Deer Drought Clay Soil Dry Soil, Herbaceous perennial, Dry to medium, 3 to 8
 Birds Butterflies, White to pink, April to May, bergenia,NA, Saxifragaceae, Showy,Bergenia DRAGONFLY ANGEL KISS, Showy Edible,NA, 075 to 150 feet, , Good Fall, Low, Eastern and southeastern United States,NA, Winter Interest,NA, 050 to 100 feet, Ground Cover Naturalize, Part shade to full shade, Rabbit Deer Drought Heavy Shade Erosion Dry Soil, Herbaceous perennial, Medium, 4 to 9
 Butterflies, White, April to May, American snowbell,NA, Styracaceae, Showy Fragrant,Styrax americanus, Showy Edible,NA, 600 to 1000 feet, , Good Fall, Medium, Southeastern United States,NA, Winter Interest,NA, 600 to 1000 feet, Ground Cover Naturalize, Full sun to part shade, Wet Soil, Deciduous shrub, Medium to wet, 6 to 8
 Butterflies, Yellowishgreen, April to May, European beech,NA, Fagaceae, Insignificant,Fagus sylvatica Riversii, Showy Edible,NA, 5000 to 6000 feet, , Colorful Good Fall, Low, Southeastern United States,NA, Winter Interest,NA, 4000 to 5000 feet, Shade Tree, Full sun to part shade, Deer, Tree, Medium, 4 to 7
 Butterflies, Greenishyellow to white, April to May, southern pricklyash,NA, Rutaceae, Showy Fragrant,Zanthoxylum clavaherculis, Showy Edible,NA, 1500 to 3000 feet, , Fragrant, Low, Southeastern United States,NA, Thorns,NA, 1000 to 2500 feet, Hedge, Full sun to part shade, Deer, Tree, Medium, 7 to 9
 Butterflies, White with red striation and pink eyes, July to September, hardy hibiscus,NA, Malvaceae, Showy,Hibiscus Pitter Patti, Showy Edible,NA, 300 to 500 feet, , Fragrant, Low, Southeastern United States,NA, Thorns,NA, 200 to 300 feet, Annual Rain Garden, Full sun, Deer Wet Soil, Herbaceous perennial, Medium to wet, 5 to 9
 Butterflies, White with red striation and pink eyes, July to September, fountain grass,NA, Poaceae, Showy,Pennisetum First Knight, Showy Edible,NA, 400 to 500 feet, , Colorful, Low, Southeastern United States,NA, Thorns,NA, 200 to 300 feet, Annual, Full sun to part shade, Deer Black Walnut Air Pollution, Ornamental grass, Medium, 7 to 11
 Butterflies, Showy purplish puffs follow yellow flowers, May to July, smoketree,NA, Anacardiaceae, Showy,Cotinus coggygria Royal Purple, Showy Edible,NA, 1000 to 1500 feet, , Colorful Good Fall, Medium, Southeastern United States,NA, Thorns,NA, 1500 to 2000 feet, Hedge, Full sun, Deer Drought Clay Soil, Deciduous shrub, Medium, 4 to 8
 Butterflies, Yellow, June to frost, shrub rose,NA, Rosaceae, Showy Fragrant,Rosa Radmonyel GRACE N GRIT YELLOW, Showy Edible,NA, 400 to 500 feet, , Colorful Good Fall, Medium, Southeastern United States,NA, Thorns,NA, 300 to 400 feet, Hedge, Full sun, Deer Drought Clay Soil, Deciduous shrub, Medium, 4 to 9
 Butterflies, Purplishblue, May to September, sage,NA, Lamiaceae, Showy,Salvia  superba Merleau, Showy Edible,NA, 100 to 150 feet, , Colorful Good Fall, Low, Southeastern United States,NA, Thorns,NA, 075 to 100 feet, Hedge, Full sun, Rabbit Deer Drought, Herbaceous perennial, Dry to medium, 5 to 8
 Butterflies, Reddishgreen, March to April, American elm,NA, Ulmaceae, Insignificant,Ulmus americana, Showy Edible,NA, 6000 to 8000 feet, , Colorful Good Fall, Medium, Eastern North America,NA, Thorns,NA, 4000 to 7000 feet, Shade Tree Street Tree Rain Garden, Full sun, Drought Black Walnut Air Pollution, Tree, Medium, 2 to 9
 Butterflies, Pink, July to August, Angels fishing rod,NA, Iridaceae, Showy,Dierama igneum, Showy Edible,NA, 150 to 200 feet, , Colorful Good Fall, Low, Southeast Africa,NA, Thorns,NA, 150 to 200 feet, Annual, Full sun, Deer Drought ShallowRocky Soil, Tree, Medium, 7 to 10
 Butterflies, Nonflowering, Nonflowering, Engelmann spruce,NA, Pinaceae, Showy,Picea engelmannii, Showy Edible,NA, 7000 to 10000 feet, , Evergreen, Low, Western North America,NA, Winter Interest,NA, 1000 to 1500 feet, Annual, Full sun, Deer, Needled evergreen, Medium, 2 to 5
 Butterflies, Nonflowering, Nonflowering, Colorado spruce,NA, Pinaceae, Showy,Picea pungens Montgomery, Showy Edible,NA, 300 to 400 feet, , Evergreen, Low, Western North America,NA, Winter Interest,NA, 300 to 600 feet, Hedge, Full sun, Rabbit Deer Drought Air Pollution, Needled evergreen, Medium, 3 to 7
 Butterflies, Yellowgreen, April to May, bigtooth maple,NA, Sapindaceae, Insignificant,Acer saccharum subsp grandidentatum, Showy Edible,NA, 2000 to 3000 feet, , Good Fall, Low, Western North America,NA, Winter Interest,NA, 2000 to 3000 feet, Hedge, Full sun to part shade, Rabbit Deer Drought Air Pollution, Deciduous shrub, Medium, 5 to 8
